player_id,display_name,score_l2,score_mahalanobis,score_pca_whitened_l2,rank_l2,rank_mahalanobis,rank_pca_whitened_l2,championships,finals_losses,finals_appearances,playoff_seasons,playoff_performance,playoff_depth_total,team_strength_index,championship_credit,finals_loss_debit,championship_net,max_consecutive_championships,repeat_titles_score,stat_outlier_z,clutch_penalty,score_goat_index,rank_goat_index
waltobi01,Bill Walton,3.235896519375535,4.863200584798503,2.9243778304487233,36,67,33,2,1,3,4,3.0817790961470433,12.327116384588173,-2.7837302598663527,3.650069028527233,1.0386566158967954,2.6114124126304374,1.0,2.0,-0.745525596625848,0.0,2.0103834860280703,17
rondora01,Rajon Rondo,2.509308501734174,3.2388061321364936,2.9571597240948773,13,25,34,2,1,3,9,2.3560718409829513,21.204646568846563,-3.8577903174158004,3.48489742243153,0.65,2.83489742243153,1.0,2.0,-1.473932552723193,0.0,1.9649456262438418,14
thomais01,Isiah Thomas,3.161534507861451,3.0683050394732034,2.9728736471419297,35,16,35,2,1,3,9,1.594633325035577,14.351699925320194,1.4416665062286464,2.232891744737535,0.7970875486704806,1.4358041960670547,2.0,2.75,-0.5694833172138848,0.0,2.4703421785184605,26
piercpa01,Paul Pierce,3.5811725488920048,3.167628167091232,2.9798976905315397,47,22,36,1,1,2,14,2.1217391820715017,29.704348549001026,-5.172795522518176,2.30388711903876,0.65,1.6538871190387603,1.0,1.0,-0.09056580571515893,0.23400648858240314,2.5063401187300554,29
parketo01,Tony Parker,2.748704335648254,3.123678261725265,2.99377903157968,21,18,37,4,1,5,17,2.6081982735964213,44.33937065113916,-4.8801317593429605,9.303055083947694,0.65,8.653055083947693,1.0,4.0,-0.9964009362727667,0.0,-0.03479024780201234,3
hayesel01,Elvin Hayes,2.917009104357798,3.77530156004224,3.0294933887731927,26,41,38,1,2,3,10,2.5022754623662564,25.022754623662564,-0.9156849997680159,2.54643960405172,1.359562928572587,1.1868766754791331,1.0,1.0,-0.6901113859717404,0.0,2.6140865523554964,32
anthoca01,Carmelo Anthony,2.9465545190114777,3.2016457072160303,3.042387863423709,28,23,39,0,0,0,13,1.3758456123378549,17.885992960392112,-1.5746547524408028,0.0,0.0,0.0,0.0,0.0,-0.8698299809996424,0.1391738629185082,3.105016101737038,48
irvinky01,Kyrie Irving,3.795559535255522,3.400828094797579,3.1598691773723235,51,30,40,1,3,4,10,2.0197189654282015,20.197189654282017,0.05918776980252538,2.8253492625057035,3.6767912321956207,-0.8514419696899171,1.0,1.0,0.0365529344855628,0.23885870854093197,3.5653602856072135,57
ewingpa01,Patrick Ewing,3.6885076756510973,3.358304097729463,3.161074865663494,48,29,41,0,2,2,14,1.425840355937343,19.9617649831228,-1.0046445876298802,0.0,2.012871679145255,-2.012871679145255,0.0,0.0,-0.0814111977701679,0.4306851054489649,4.059388250816367,71
moncrsi01,Sidney Moncrief,3.254675523419892,3.5146209602081067,3.1870836320388247,37,33,42,0,0,0,11,1.1364882515120813,12.501370766632894,-0.3553582177371302,0.0,0.0,0.0,0.0,0.0,-0.11200285063996845,0.5474302986510561,3.4334272664318,54
wilkido01,Dominique Wilkins,3.74801252003475,4.148408524332734,3.2642726283712564,49,52,43,0,0,0,10,1.1323734233803084,11.323734233803085,0.974058230867033,0.0,0.0,0.0,0.0,0.0,-0.028900225788165437,0.5440733364785989,3.509105629786626,56
